행번호,파일,오프셋,안 들어간 이유,원문,디스크 (지금 게임),CSV,수정안
2582,C2/SC0B6.DAT,0x47D60,슬롯 부족 / 창 넘침,<G:90>スリープレスカート<G:89>を手にいれた。,(일본어 그대로),슬리플리스 카트를 손에 넣었다.,슬리플리스 카트를 손에 넣었다.
2583,C2/SC0B6.DAT,0x47DAA,슬롯 부족 / 창 넘침,<G:90>アンチへモジー<G:89>を手にいれた。,(일본어 그대로),안티헤모지를 손에 넣었다.,안티헤모지를 손에 넣었다.
2584,C2/SC0B6.DAT,0x47DF2,슬롯 부족 / 창 넘침,<G:90>鏡<G:89>を手にいれた。,(일본어 그대로),거울을 손에 넣었다.,거울을 손에 넣었다.
2585,C2/SC0B6.DAT,0x47E34,슬롯 부족 / 창 넘침,<G:90>サングラス<G:89>を手にいれた。,(일본어 그대로),선글라스를 손에 넣었다.,선글라스를 손에 넣었다.
2586,C2/SC0B6.DAT,0x47E78,슬롯 부족 / 창 넘침,<G:90>パワーリスト<G:89>を手にいれた。,(일본어 그대로),파워 리스트를 손에 넣었다.,파워 리스트를 손에 넣었다.
2587,C2/SC0B6.DAT,0x47EBE,슬롯 부족 / 창 넘침,<G:90>ハイパーフーツ<G:89>を手にいれた。,(일본어 그대로),하이퍼 부츠를 손에 넣었다.,하이퍼 부츠를 손에 넣었다.
2588,C2/SC0B6.DAT,0x47F06,슬롯 부족 / 창 넘침,<G:90>いやしのお守り<G:89>を手にいれた。,(일본어 그대로),치유의 부적을 손에 넣었다.,치유의 부적을 손에 넣었다.
2589,C2/SC0B6.DAT,0x47F4E,슬롯 부족 / 창 넘침,<G:90>貝がら<G:89>を手にいれた。,(일본어 그대로),조개껍데기를 손에 넣었다.,조개껍데기를 손에 넣었다.
2590,C2/SC0B6.DAT,0x47F92,슬롯 부족 / 창 넘침,<G:90>幻のこて<G:89>を手にいれた。,(일본어 그대로),환상의 건틀릿을 손에 넣었다.,환상의 건틀릿을 손에 넣었다.
2591,C2/SC0B6.DAT,0x47FD6,슬롯 부족 / 창 넘침,<G:90>バイオレットレーサー<G:89>を手にいれた。,(일본어 그대로),바이올렛 레이서를 손에 넣었다.,바이올렛 레이서를 손에 넣었다.
2592,C2/SC0B6.DAT,0x48020,슬롯 부족 / 창 넘침,<G:90>一角獣の角<G:89>を手にいれた。,(일본어 그대로),일각수의 뿔을 손에 넣었다.,일각수의 뿔을 손에 넣었다.
2593,C2/SC0B6.DAT,0x48064,슬롯 부족 / 창 넘침,"もう賞品はありませんが
がんばつて下さい。<CTRL:E4:3D>",(일본어 그대로),이제 상품은 없습니다만 힘내 주십시오.,이제 상품은 없습니다만 힘내 주십시오.
2658,D/SD031.DAT,0x45924,슬롯 부족 / 창 넘침,"みかけによらす強いのう。
おまえたち。",(일본어 그대로),"보기와 달리 강하구먼, 너희들.","보기와 달리 강하구먼, 너희들."
2660,D/SD031.DAT,0x459BC,슬롯 부족 / 창 넘침,じいさん、あんた誰だい？,(일본어 그대로),"할아버지, 당신은 누구야?","할아버지, 당신은 누구야?"
2662,D/SD031.DAT,0x45A66,슬롯 부족 / 창 넘침,現れてやつたぞつて・・。,,다시 나타났다고...,다시 나타났다고...
2663,D/SD031.DAT,0x45AAA,슬롯 부족 / 창 넘침,"おまえたち、古の<G:90>伝記<G:89>を
認めてきたんじゃろうが。",(일본어 그대로),"너희들, 옛 전기를 읽고 온 것이겠지.","너희들, 옛 전기를 읽고 온 것이겠지."
2664,D/SD031.DAT,0x45AFE,슬롯 부족 / 창 넘침,じゃっあんたが・・？,(일본어 그대로),그럼 당신이...?,그럼 당신이...?
2665,D/SD031.DAT,0x45B3E,슬롯 부족 / 창 넘침,"いかにも。
わしがおまえらをみちびく生きた伝記じゃ。",(일본어 그대로),그렇다. 내가 너희를 이끌 살아 있는 전기지.,그렇다. 내가 너희를 이끌 살아 있는 전기지.
2666,D/SD031.DAT,0x45B96,슬롯 부족 / 창 넘침,ふふつふふつふふつふふつふふつふふつ,(일본어 그대로),후후후후후후후후후후후후후.,후후후후후후후후후후후후후.
2670,D/SD031.DAT,0x45CF4,슬롯 부족 / 창 넘침,5大精霊？,(일본어 그대로),5대 정령?,5대 정령?
2675,D/SD031.DAT,0x45E92,슬롯 부족 / 창 넘침,じゃあ、どうやつてその精霊達をさがしだすの？,(일본어 그대로),그럼 어떻게 그 정령들을 찾아내지?,그럼 어떻게 그 정령들을 찾아내지?
2677,D/SD031.DAT,0x45F3C,슬롯 부족 / 창 넘침,"みちびいたもの・<CTRL:E4:0B>・<CTRL:E4:0B>・<CTRL:E4:15>？
父さんからの手紙か!",(일본어 그대로),이끈 것...? 아버지가 보내온 편지구나!,이끈 것...? 아버지가 보내온 편지구나!
2678,D/SD031.DAT,0x45F8E,슬롯 부족 / 창 넘침,それはどこから来たものかのう？,(일본어 그대로),그건 어디서 온 것이려나?,그건 어디서 온 것이려나?
2679,D/SD031.DAT,0x45FDA,슬롯 부족 / 창 넘침,アララトスからだ!,(일본어 그대로),아라라토스에서 왔어!,아라라토스에서 왔어!
2680,D/SD031.DAT,0x46018,슬롯 부족 / 창 넘침,すいぶん遠いところからね。,(일본어 그대로),상당히 먼 곳에서 왔구나.,상당히 먼 곳에서 왔구나.
2681,D/SD031.DAT,0x4605A,슬롯 부족 / 창 넘침,飛行船が必要だなっ。,(일본어 그대로),비행선이 필요하겠군.,비행선이 필요하겠군.
2685,D/SD031.DAT,0x46190,슬롯 부족 / 창 넘침,ばかもん!!,(일본어 그대로),이 바보 놈!!,이 바보 놈!!
2687,D/SD031.DAT,0x46226,슬롯 부족 / 창 넘침,じゃっ、ものすごい魔法が使えるんだ。,(일본어 그대로),그럼 엄청난 마법을 쓸 수 있겠네.,그럼 엄청난 마법을 쓸 수 있겠네.
2688,D/SD031.DAT,0x46276,슬롯 부족 / 창 넘침,いかにも、そのはすじゃが・・？,(일본어 그대로),"그렇다, 그러할 터인데...?","그렇다, 그러할 터인데...?"
2689,D/SD031.DAT,0x462BC,슬롯 부족 / 창 넘침,なんか頼りないわね・・。,(일본어 그대로),어딘가 믿음직하지 않네...,어딘가 믿음직하지 않네...
2691,D/SD031.DAT,0x4637E,슬롯 부족 / 창 넘침,"ひさしぶりに
大暴れできそうじゃわい。",<7D><3A><1E><CA><39><23> <50><DE8E><32><30>덕<41><26><4A><48><43><1B><37>,오랜만에 크게 활약할 수 있겠구나.,오랜만에 크게 활약할 수 있겠구나.
2693,D/SD031.DAT,0x463FC,슬롯 부족 / 창 넘침,ロマンシングストーンをもつていた!<CTRL:E4:3D>,,로맨싱 스톤을 가지고 있었다!,로맨싱 스톤을 가지고 있었다!
2695,D/SD031.DAT,0x465EE,슬롯 부족 / 창 넘침,<G:90>すごいアイテム<G:89>を手に入れた!,(일본어 그대로),굉장한 아이템을 손에 넣었다!,굉장한 아이템을 손에 넣었다!
2696,D/SD031.DAT,0x4672A,슬롯 부족 / 창 넘침,チョンガラの<G:90>すごいアイテム<G:89>をうばつた!<CTRL:E4:3D>,(일본어 그대로),촌가라의 굉장한 아이템을 빼앗았다!,촌가라의 굉장한 아이템을 빼앗았다!
2697,D/SD031.DAT,0x467FC,슬롯 부족 / 창 넘침,<G:90>すごいアイテム<G:89>をとりかえした!<CTRL:E4:3D>,(일본어 그대로),굉장한 아이템을 되찾았다!,굉장한 아이템을 되찾았다!
2698,D/SD031.DAT,0x4699E,슬롯 부족 / 창 넘침,<G:90>すごいアイテム<G:89>をとりあげた!,(일본어 그대로),굉장한 아이템을 빼앗아 들었다!,굉장한 아이템을 빼앗아 들었다!
2699,D/SD031.DAT,0x46A2A,슬롯 부족 / 창 넘침,<G:90>すごいアイテム<G:89>がこわれてとんだ!,(일본어 그대로),굉장한 아이템이 부서져 날아갔다!,굉장한 아이템이 부서져 날아갔다!
2700,D/SD031.DAT,0x46A88,슬롯 부족 / 창 넘침,<G:90>こわれたアイテム<G:89>に気づいていない。,(일본어 그대로),부서진 아이템을 알아차리지 못했다.,부서진 아이템을 알아차리지 못했다.
2701,D/SD031.DAT,0x48A5A,슬롯 부족 / 창 넘침,石を手に入れた!,(일본어 그대로),돌을 손에 넣었다!,돌을 손에 넣었다!
2702,D/SD031.DAT,0x48AA4,슬롯 부족 / 창 넘침,石を手に入れた!,(일본어 그대로),돌을 손에 넣었다!,돌을 손에 넣었다!
